text,created_at,tag,sentiment
@HadiWibisono10 @AgusYudhoyono Urung sikatan https://t.co/KBVrMWLoQk,2023-01-14 00:00:58,PartaiDemokrat,neutral
"@HelmiFelis_ Ya, seperti nasdem yg kayakx akan mengkhianati anies 😂😂😂",2023-01-14 00:00:58,NasDem,negative
@pengarang_sajak Komplit deh kelakuan kader @PDemokrat 🙈,2023-01-14 00:01:07,PartaiDemokrat,negative
@GremoryXi7 @logikapolitikid @AgusYudhoyono pola pikir ketua karbitan,2023-01-14 00:01:22,PartaiDemokrat,negative
"@SantorinisSun @AgusYudhoyono mulai kehilangan intelektualitas.
Kritik itu demokrasi, menghina itu barbar.
Masa ngajak barbar?
Jangan² nanti berubah, dulu waktu partai besar minta threshold 20%, sekarang jadi partai gurem minta threshold dihilangkan. Ga jelas blas",2023-01-14 00:01:29,PartaiDemokrat,negative
@narkosun__ @PDI_Perjuangan @PKSejahtera yang pasti jangan pks deh,2023-01-14 00:01:48,PKS,negative
"#Repost @dpp_pkb with @let.repost 
• • • • • •
Ulama Bangkit Bersatu Menjaga Indonesia

 #PKB  #DPPPKB #DPWPKBJatim #DPCPKBTuban #gusmuhaimin #panglimasantri #GusMuhaiminPanglimaSantri https://t.co/AM61IUMCEa",2023-01-14 00:01:48,PKB,positive
@Brigade01Arwan1 Wajahnya sendu.,2023-01-14 00:01:54,PDI-P,negative
Ketua Umum PDI-P Megawati Soekarnoputri menyebut dirinya menjadi satu-satunya anak Presiden Indonesia yang lahir di Istana Kepresidenan. https://t.co/Tt21TAvtqE,2023-01-14 00:02:13,PDI-P,neutral
"#PKB siap menang. Siap mengabdi utk bangsa &amp; negara 🇲🇨
#GusMuhaimin #IjtimaUlamaNusantara #PKBNo1 
@DPP_PKB @cakimiNOW @EmHasanuddin @hanifdhakiri @Jazilul_Fawaid @gaspoll2024 @rmp_officials @LuqmanBeeNKRI @yusuf_ch @dpwpkbdiy @dpwpkbjatim_ @pkbjawatengah @agussulis_ @voiceofpkb https://t.co/G7Rtm8BBH0",2023-01-14 00:02:28,PKB,positive
"41/ Demikianlah utas kali ini yg bersumber dari @golkarpedia 

https://t.co/I3egJUf9X0

#airlanggahartarto #partaigolkar #golkarpedia #golkar #golkarsolid #airlanggapemersatu #golkarindonesia",2023-01-14 00:03:37,Golkar,neutral
"@yusuf_dumdum Gue serius nanya ke Lo, Dum...
Kenapa Lo ga pernah menanyakan ada setoran ke partai atau nggak pada partai yang banyak Anggota dan pengurusnya korupsi?
Kenapa hanya ke Lukas Enembe saja?
Apa karena dari partai Demokrat?",2023-01-14 00:03:41,PartaiDemokrat,negative
@__AnakKolong @PDI_Perjuangan Yang nulis pidato bolonya tasdi kali ya,2023-01-14 00:03:46,PDI-P,neutral
@antisontoloyo Kapan min @Gerindra ?,2023-01-14 00:04:07,Gerindra,neutral
@bagusw @haloho_santo sebesar apa mas?  gimana pengaruh besarnya? golkar bukan partai yang seperti itu yang mau nampung pindahan partai lain(umpama) di saat mau pemilihan sudah di depan mata,2023-01-14 00:04:25,Golkar,negative
@tah_rir @Dennysiregar7 @AgusYudhoyono @PDemokrat Ini orang otaknya bagaimana. Kader korup tukang judi bergaul sama pemasok senjata untuk sparatis KKB malah di bilang biasa🤜,2023-01-14 00:04:56,PartaiDemokrat,negative
"@detikcom Elektabilitas tidak penting. Yang penting (pernah) sanggup penuhi Sumpah dan Janji Presiden Pasal 9 UUD'45 ?

Salam Bangkit ! https://t.co/kNi7ka9qCw",2023-01-14 00:05:11,NasDem,negative
@liputan6dotcom Kemungkinan besar PD tidak bisa masuk senayan lagi kalau ahy tidak jadi cawapres... bila Anie perpasangan dengan ahy kemungkinan besar sangat mudah dikalahkan...masa jayanya PD sudah lewat...masa jayanya Parpol nggak bisa 2 kali,2023-01-14 00:05:20,NasDem,negative
@marlina_idha @AgusYudhoyono Calon wakil bupati pacitan,2023-01-14 00:05:56,PartaiDemokrat,neutral
"@wiryadiharja @NasDem @aagym Itulah ketika tutur kata kebaikan diperjual belikan demi popularitas.. 
Dan lebih parahnya lagi seperti @NasDem comot vidio seperti diatas diberi label dirinya, numpang popularitas gus baha demi mengangkat popularitas partai...",2023-01-14 00:06:06,NasDem,negative
@marlina_idha @AgusYudhoyono Anak manja di ketiak bapaknya,2023-01-14 00:06:18,PartaiDemokrat,negative
@inyongmanise Cemen,2023-01-14 00:06:23,NasDem,neutral
@marlina_idha @AgusYudhoyono Pengemis jabatan,2023-01-14 00:06:29,PartaiDemokrat,negative
@marlina_idha @AgusYudhoyono Anak cengeng hedon,2023-01-14 00:06:37,PartaiDemokrat,negative
@HadiWibisono10 @AgusYudhoyono ambune 🤣,2023-01-14 00:06:47,PartaiDemokrat,neutral
"@__AnakKolong @PDI_Perjuangan Benar apa yg dikatakan Ahok jika ingin menguji karakter sejati seseorang kasih dia kekuasaan
https://t.co/oFZPzKs214",2023-01-14 00:06:52,PDI-P,negative
"@Gerindra Wahhh,, ngeri ngeri sedap itu,,  😆😆😆",2023-01-14 00:07:09,Gerindra,negative
@Aryprasetyo85 @_zhyme @Dwi_Ekaputri @DS_yantie @FirzaHusainID @03__nakula @AntoniusCDN @B3doel___ @Ayunin___ @ansorsbr @ansorponorogo Brewok serakah,2023-01-14 00:07:46,NasDem,negative
"Mahu perwakilan fikirkan kemungkinan UMNO akan jadi Partai Golongan Karya (atau Golkar) di Indonesia. - Awang 

https://t.co/aVgH1hQWGy

https://t.co/aVgH1hQWGy",2023-01-14 00:07:46,Golkar,neutral
"@geloraco Antara yohanes dan kapeka dari awal sudah terjalin kerjasama, jadi jangan berharap melaporkan kasus yohanes akan ditindaklanjuti oleh kapeka. Kalo mau melaporkan mending ke Kejaksaan atau Kepolisian https://t.co/KrHDqNYqnQ",2023-01-14 00:07:48,NasDem,negative
@marlina_idha @AgusYudhoyono Iklas Mas AHY .. Boleh nanti jadi Menhan atau Menko juga ..,2023-01-14 00:07:49,PartaiDemokrat,negative
"@Anang_soetoyo @bachrum_achmadi Sptnya Elo perlu berkaca spy tahu bhw sebelum elo goblokin semua orang, tnyt lebih goblok.",2023-01-14 00:07:50,Gerindra,negative
"@HanifahAndini96 Mungkin @AgusYudhoyono masih kecil waktu peristiwa itu terjadi.....

Ya kah?
@BennyHarmanID  ???
@PDemokrat",2023-01-14 00:07:55,PartaiDemokrat,neutral
